"","LastName","FirstName","StateAbbreviation.x","Party.x","State","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alt_en"
"286","Cummings","Elijah E","MD","D","Maryland",6850,0,0,0,3850,0
"287","Himes","Jim","CT","D","Connecticut",6750,0,2750,6500,10700,2600
"288","Kirkpatrick","Ann","AZ","D","Arizona",6700,0,7500,0,7000,1000
"289","Titus","Dina","NV","D","Nevada",6600,0,13000,0,2500,5500
"290","McNerney","Jerry","CA","D","California",6500,0,0,2000,34000,21150
"291","Napolitano","Grace","CA","D","California",6500,0,0,6500,2000,0
"292","Peters","Scott","CA","D","California",6500,0,0,2500,50459,5000
"293","Walz","Tim","MN","D","Minnesota",6500,0,0,0,6000,8500
"294","Jones","Walter B Jr","NC","R","North Carolina",6350,0,0,1500,0,0
"295","Pocan","Mark","WI","D","Wisconsin",6350,0,0,2000,2500,500
"296","Cooper","Jim","TN","D","Tennessee",6200,0,0,1000,0,0
"297","Polis","Jared","CO","D","Colorado",6200,0,0,0,18400,0
"298","Meadows","Mark","NC","R","North Carolina",6000,0,0,0,0,0
"299","Sensenbrenner","Jim","WI","R","Wisconsin",6000,0,0,0,0,250
"300","Keating","Bill","MA","D","Massachusetts",5850,0,0,2500,2000,250
"301","Loebsack","David","IA","D","Iowa",5750,0,0,3000,6500,9000
"302","Nadler","Jerrold","NY","D","New York",5700,0,0,0,0,0
"303","Lee","Barbara","CA","D","California",5600,0,0,0,7750,0
"304","Brooks","Mo","AL","R","Alabama",5500,2500,2500,0,0,0
"305","Crowley","Joseph","NY","D","New York",5500,0,0,5500,6700,7575
"306","Kind","Ron","WI","D","Wisconsin",5500,0,0,1000,3500,13000
"307","Scott","Austin","GA","R","Georgia",5500,0,1750,2000,1000,0
"308","Sires","Albio","NJ","D","New Jersey",5400,0,0,3000,500,0
"309","Tierney","John F","MA","D","Massachusetts",5200,0,0,5200,5250,250
"310","Frankel","Lois","FL","D","Florida",5100,0,0,0,2000,0
"311","Brown","Corrine","FL","D","Florida",5000,0,0,0,0,0
"312","Connolly","Gerry","VA","D","Virginia",5000,0,0,3000,3000,0
"313","Ruiz","Raul","CA","D","California",5000,0,0,3000,46387,11200
"314","Cook","Paul","CA","R","California",4800,0,750,0,0,7100
